Frequent Itemset,Support
citrus fruit,814
margarine,576
tropical fruit,1032
yogurt,1372
coffee,571
whole milk,2513
pip fruit,744
cream cheese,390
other vegetables,1903
long life bakery product,368
butter,545
rolls/buns,1809
UHT-milk,329
bottled beer,792
white bread,414
bottled water,1087
chocolate,488
curd,524
beef,516
frankfurter,580
soda,1715
chicken,422
sugar,333
fruit/vegetable juice,711
newspapers,785
pastry,875
root vegetables,1072
salty snack,372
waffles,378
canned beer,764
sausage,924
brown bread,638
shopping bags,969
hamburger meat,327
hygiene articles,324
napkins,515
pork,567
berries,327
whipped/sour cream,705
dessert,365
domestic eggs,624
frozen vegetables,473
onions,305
"('whole milk', 'citrus fruit')",300
"('whole milk', 'tropical fruit')",416
"('other vegetables', 'tropical fruit')",353
"('whole milk', 'yogurt')",551
"('other vegetables', 'yogurt')",427
"('yogurt', 'rolls/buns')",338
"('whole milk', 'other vegetables')",736
"('whole milk', 'rolls/buns')",557
"('whole milk', 'bottled water')",338
"('whole milk', 'soda')",394
"('whole milk', 'pastry')",327
"('whole milk', 'root vegetables')",481
"('whole milk', 'whipped/sour cream')",317
"('other vegetables', 'rolls/buns')",419
"('other vegetables', 'soda')",322
"('other vegetables', 'root vegetables')",466
"('soda', 'rolls/buns')",377
"('sausage', 'rolls/buns')",301
